idx,code,input,name_1,name_2,date_1,date_2,time_1,time_2,worker,date
26,b6, Trương Minh Đội KBuôr ở tòa C5 muốn đặt lịch khám covid-19,Trương Minh Đội KBuôr,,,,,,minh,12/07
27,b6,"vợ tôi Y Liếp Niê đang mang thai, muốn đặt lịch mổ ạ",Y Liếp Niê,,,,,,,
28,b6,trưởng làng tôi H'Xuyên Eban tuần sau sẽ ra thôn khám bệnh thì hẹn trước bác sĩ ntn,H'Xuyên Eban,,,,,,,
29,b6,đặt lịch khám cho thân nhân là Thạch Thị Sây La,Thạch Thị Sây La,,,,,,,
30,b6,thằng em Ma Văn Dũng dưới quê xuống chơi mà bị bệnh giờ cần hẹn trước bác sĩ để khám thì làm sao ạ,Ma Văn Dũng,,,,,,,
31,b7,bữa em có hẹn bác sáng sáng nay tầm 9h30 có mặt ạ,sáng,,sáng nay,,9h30,,minh,13/07
32,b7,mình bên công ty vinbrain hôm qua có đặt lịch khám vs bác sĩ khoa khoa da liễu á,khoa 1,,hôm qua,,,,,
33,b7,"đặt lịch khám bệnh viêm xoan vào ngày 14/07, nếu có bác sĩ tiến trưởng khoa thì cho xin đặt lịch với bác luôn",tiến,,14/07,,,,,
34,b7,book lịch khám cho thằng con tên tèo lúc 7 giờ rưỡi ngày mai,tèo,,ngày mai,,7 giờ rưỡi,,,
35,b7,đăng ký lịch khám với bsy dân bv nhân dân gia định tầm chiều mai,dân,,chiều mai,,,,,
36,b7,"không biết bác sĩ phòng phòng C13 khoa nội sáng thứ 2 ngày 7/8 có rãnh không ạ, mình cần đăng ký lịch khám với bác",phòng,,sáng thứ 2 ngày 7/8,,,,,
37,b7,"tôi nghe nói bsi chung khoa ngoại mổ dây chằng tốt, tôi muốn hẹn với bác sĩ thì làm sao ạ",chung,,,,,,,
38,b7,muốn đăng ký khám bác sĩ trưởng khoa dũng thì thủ tục như nào,dũng,,,,,,,
39,b7,"sáng mai bác yến bên nhi có làm việc không ạ, để em đăng ký lịch khám với bác",yến,,sáng mai,,,,,
40,b7,đăng ký lịch khám cho thân nhân với họ và tên là bảo,bảo,,,,,,,
41,b8,"chào bot, tôi cần đăng ký khám với bs Trang",Trang,,,,,,minh,13/07
42,b8,"tôi muốn đặt lịch với bác Hoàng Tùng gấp, tầm 1 tiếng rưỡi nữa tôi đến được không ạ",Tùng,,1 tiếng rưỡi,,,,,
43,b8,cho tôi thay book ngày đã hẹn với chị Linh,Linh,,,,,,,
44,b8,vào ngày 2/9 tôi đã mún hẹn khám với bác Sinh,Sinh,,2/9,,,,,
45,b8,chiều mai em bận việc cá nhân. không biết có thể đăng ký hẹn với ôg Suyến vào ngày mốt dc k,Suyến,,ngày mốt,,,,,
46,b8,"lịch làm việc tôi hay dày nên chỉ có thể khám vào buổi tối, không biết bs Hải tối còn làm không ạ. Em muốn đặt lịch vs bs",Hải,,,,,,,
47,b8,bác sỹ Huy tuần này có rãnh thời gian nào không em muốn tái khám,Huy,,,,,,,
48,b8,tôi tên Hải Nam tôi muốn tái khám khám,Hải Nam,,,,,,,
49,b8,hi bot đặt giúp cái lịch vào thứ 5 tuần này với bs Hoàng 2h30 chiều,Hoàng,,thứ 5 tuần này,,2h30 chiều,,,
50,b8,4h chiều mai hẹn với tá dược Tuy để tái khám và lấy thuốc,Tuy,,chiều mai,,4h chiều mai,,,
51,b4,tôi tên nguyen thai thanh cần khám họng do mấy nay ho quá,nguyen thai thanh,,,,,,minh,12/07
52,b4,cần đặt hẹn với bs to quang trung khoa cấp cứu gấp,to quang trung,,,,,,,
53,b4,bác sĩ pham thi yen trang có rãnh vào thứ 3 tuần này không ạ,pham thi yeu trang,,,,,,,
54,b4,"đao hieu là tên của thằng em tôi, nó muốn đặt cái lịch vs bs",dao hieu,,,,,,,
55,b4,họ và tên là tran kieu trang cần khám đặt lại lịch khám tai mũi họng,tran kieu trang,,,,,,,
56,b4,tôi muốn đặt lịch khám bệnh cho ba tôi là pham long,pham long,,,,,,,
57,b4,tôi là bang kieu và tôi muốn đặt lịch khám thì làm là gì,bang kieu,,,,,,,
58,b4,"tôi được biết bs pham hai long giỏi lắm, tôi muốn được khám vs bác thì làm gì",pham hai long,,,,,,,
59,b4,đặt lịch khám da liễu cho em gái ly quoc nu,ly quoc nu,,,,,,,
60,b4,"họ và tên mình là vuong gia han, mình muốn đặt lịch khám da liễu vào tuần sau",vuong gia han,,,,,,,
61,b9,chiều mai em bận việc cá nhân. không biết có thể đăng ký hẹn với ôg Cao suyến vào ngày mốt dc k,Cao suyến,,ngày mốt,,,,minh,13/07
62,b9,"lịch làm việc tôi hay dày nên chỉ có thể khám vào buổi tối, không biết bs Phạm hải tối còn làm không ạ. Em muốn đặt lịch vs bs",Phạm hải,,,,,,,
63,b9,bác sỹ Trần tuân tuần này có rãnh thời gian nào không em muốn tái khám,Trần tuân,,,,,,,
64,b9,tôi tên ĐÀO ĐỨC  tôi muốn tái khám khám,ĐÀO ĐỨC,,,,,,,
65,b9,hi bot đặt giúp cái lịch vào thứ 5 tuần này với bs sỹ 2h30 chiều,sỹ,,thứ 5 tuần này,,2h30 chiều,,,
66,b10,dat lich voi bac si sy vao 7h30 sang thu nam tuan nay nhe,sy,,sang thu nam,,7h30 sang,,minh,13/07
67,b10,dat bac si khoa khoa da lieu vao khung gio gan nhat ma bac si ranh,khoa 1,,,,,,,
68,b10,"khoa vat ly tri lieu con hoat dong khong a, em ten nguyen phuc minh can dat hen a",nguyen phuc minh,,,,,,,
69,b10,toi mun dat lich kham benh cho me nguyen thi kim ngan thi lam sao a,nguyen thi kim ngan,,,,,,,
70,b10,bac sy trieu toi goi co noi 8h30 sang mai bac ranh nen cho toi dat lich vao gio do a,trieu,,sang mai,,8h30 sang,,,
71,b10,"dieu duong nay goi toi sang mai quay lai, toi muon dat lich cho sang mai a. toi ten do van moi",do van moi,,sang mai,,,,,
72,b10,hi bot dat lich kham tai mui hong vao sang mai cho tran dan,tran dan,,,,,,,
73,b10,sang mai ba toi se tai kham vs bac si khoa phong 403 ,khoa,,sang mai,,,,,
74,b10,minh mun dat lich cho nguoi yeu ten luu thi phuong anh vao sang mai a,luu thi phuong anh,,sang mai,,,,,
75,b10,ban trai em la tran hoang vu hom qua sot nang qua. em muon hen lich kham gap a,tran hoang vu,,,,,,,
76,b11,"mình mún book cái hẹn cho chồng là tom, bv có hỗ trợ k ạ",tom,,,,,,minh,13/07
77,b11,tôi là richard đặt lịch khám bệnh về nhức đầu,richard,,,,,,,
78,b11,k'ra gặp bác sĩ khám họng vào chiều mai,k'ra,,chiều mai,,,,,
79,b11,"thằng út nhà tui sốt, tui mún cho nó gặp bs",út,,,,,,,
80,b11,cần khám vs bác tui sây la phải làm gì,sây la,,,,,,,
81,b12,tôi tên Niê thấy người hơi mệt mún khám thì làm sao,Niê,,,,,,minh,13/07
82,b12,Eban đau đầu mún khám bác sĩ,Eban,,,,,,,
83,b12,đội TPHCM chúng tôi muốn đặt lịch kiểm tra cho cầu thủ Messi,Messi,,,,,,,
84,b12,đặt khám cho người nhà là Văn Mến,Văn Mến,,,,,,,
85,b12,"K'Hiếu muốn khám bệnh, đau đầu quá rồi",K'Hiếu,,,,,,,
86,b3,tôi tên là thạcH thị lYta sáng hôm trước có đặt hẹn với bác sĩ ạ,thạcH thị lYta,,,,,,minh,12/07
87,b3,"Võ nhật huy là em của em, em cần book lịch cho nó",Võ nhật huy,,,,,,,
88,b3,sáng hôm qua con em lê Văn bay có gọi điện cho bs á,lê Văn bay,,,,,,,
89,b3,em muốn đặt khám cho mẹ em nguyễn văn Út,nguyễn văn Út,,,,,,,
90,b3,"bot ơi cho đặt cái lịch với, tui tên Trương cầm lựu",Trương cầm lựu,,,,,,,
91,b3,tôi tên Huỳnh thị nhiễn nay có hẹn vs bác sỹ,Huỳnh thị nhiễn,,,,,,,
92,b3,"trước tui có đặt lịch rùi á, tên KIỀU MINH TÂM",KIỀU MINH TÂM,,,,,,,
93,b3,"tôi tên DƯƠNG THỊ HẰNG, muốn đặt hẹn vs bệnh viên",DƯƠNG THỊ HẰNG,,,,,,,
94,b3,ba em LƯƠNG VĂN chính có book lịch cho em vào ngày 2/7 ,LƯƠNG VĂN chính,,,,,,,
95,b3,mình muốn đặt lịch khám cho bà mình tên lô THỊ dung do hôm trước gọi mà bác sĩ bận ạ,lô THỊ dung,,,,,,,
96,c22,tôi là võ văn Lựa đổi lịch đã đặt vs bs lee yong UN sang 7h30 mai,võ văn Lựa,lee yong UN,mai,,7h30,,minh,13/7
97,c22,"nay tôi có việc nên chưa đi khám được, xin đổi lịch khám với bs Nguyễn thị sake sang hôm khác ạ. tôi tên kim Lot",Nguyễn thị sake,kim Lot,,,,,,
98,c22,em là Kim phai em của Kim lot có đặt lịch sáng nay. Em muốn đổi ngày khám,Kim phai,Kim lot,sáng nay,,,,,
99,c22,"xin đổi giờ khám cho người thân Phạm Hào sang chiều t3 tuần sau ạ, vẫn giữ nguyên bs Thạch thon",Phạm Hào,Thạch thon,chiều t3 tuần sau,,,,,
100,c22,"sáng nay tôi Lê thị hảo có đặt khám mà bs gọi tôi bs Y' set Byă bận, giờ tui thay giờ khám lịch khám khác á",Lê thị hảo,Y' set Byă,sáng nay,,,,,
101,c23,mợ em dương so ny có việc nên mún chuyển sang khám 4:30 chiều không biết bs nguyễn thị hà có đồng ý k ạ,dương so ny,nguyễn thị hà,,,4:30 chiều,,minh,13/7
102,c23,"chồng tôi harry macguire đi công tác về trễ nên k kịp tái khám với ngài phan trung tự, tôi muốn đổi ngày khám 2 ngày nữa, giờ vẫn giữ nguyên",harry macguire,phan trung tự,2 ngày nữa,,,,,
103,c23,đổi giờ khám cho h mat niê với bác phan đăng khoa khoa da liễu sang chiều 2 rưỡi,h mat niê,phan đăng khoa,,,chiều 2 rưỡi,,,
104,c23,trần thị kiểng dời ngày khám sang tuần sau nha bot . khám với bác sĩ dương thị hằng ,trần thị kiểng,dương thị hằng,tuần sau,,,,,
105,c23,"chú lê văn bay có sửa ngày khám sang 17 tháng 3 , có nhắn với bác hồ chí dũng rồi",chú lê văn ay,hồ chí dũng,17 tháng 3,,,,,
106,c24,"o H'Xuyên Eban dời ngày gặp bs sang t3, bs Mai Thị Thu giờ đó còn làm k",H'Xuyên Eban,Mai Thị Thu,t3,,,,minh,13/7
107,c24,bệnh nhân Y Liếp Niê phòng C304 ngày mai lấy mẫu nên dời sang chiều thứ 7 nhé bác sĩ Lý Quang,Y Liếp Niê,Lý Quang,chiều thứ 7,,,,,
108,c24,"hi bot, sửa ngày tái khám cho ông chú Nguyễn Văn SuôL sang 23-07 vói bác sĩ Bùi Thị Thu",Nguyễn Văn SuôL,Bùi thị Thu,23-07,,,,,
109,c24," Hứa Đắt Thắng tái khám bs ngày 19/08, bác sĩ cần đặt là Hà Thị Kim Thanh . Sửa lại giúp nhé",Hứa Đắt Thắng,Hà Thị Kinh Thanh,19/08,,,,,
110,c24,"anh Lê Văn Pon nay đi công tác, dời hẹn bác sĩ sang 20/08 lúc 1h30 nha bot. gọi giúp bs Lê Hoàng Ân nhé",Lê Văn Pon,Lê Hoàng Ân,20/08,,1h30,,,
111,c25,cậu Y thông cần đổi ngày khám do bs Hoàng mai nói sáng thứ 3 tuần này có việc bận,Y thông,Hoàng mai,thứ 3 tuần này,,,,minh,14/7
112,c25,đổi lịch cho người nhà ông hoàng nguyễn trước có khám với bác sĩ trần Trung dũng thì phải làm sao,hoàng nguyễn,trần Trung dũng,,,,,,
113,c25,k'ra mún khám vào thứ 3 thay vì thứ 2 như đã hẹn với dược tá trần dần,k'ra,trần dần,"thứ 3 , thứ 2",,,,,
114,c25,"vừa đáp xuống sân bay nên em hơi mệt, em muốn dời ngày khám từ 28/8 sang 30/8 , khuấT hữu thắng là bệnh nhân của bác phạm tuân ạ",khuấT hữu thắnng,phạm tuân,28/8,30/8,,,,
115,c25,Hakim yiech của đội Chelsea cần dời giờ khám sớm hơn 2 tiếng cho kịp trận đấu . mong bác sĩ tạ đức huy approve ạ,Hakim yiech,tạ đức huy,,,,,,
116,c26,"tôi là quản lý của địa di băng , nay muốn cho thân chủ hẹn với bs sớm hơn 1 tiếng nghĩa là 8h30 . có phiền bs john wick không ạ",địa di băng,john wick,,,8h30,,minh,15/7
117,c26,"trước đặt lịch mà tôi điền sai tên là tạ tĩnh, mún sửa tên thành tạ lĩnh ạ",tạ tĩnh,tạ lĩnh,,,,,,
118,c26,tôi là lương dĩ cư là quản lý của sơn tùng mtp . anh ta có show gấp nên tui muốn dời lịch ,lương dĩ cư,sơn tùng mtp,,,,,,
119,c26,dời lịch của vợ chồng tóc tiên và hoàng touliver sang mai nha bot,tóc tiên,hoàng touliver,mai,,,,,
120,c26,evan smalling đổi cái giờ sang buổi chiều vì bị hlv sterlling triệu tâp gấp,evan smalling,sterlling,buổi chiều,,,,,
121,c27,"tôi Lại Lý Huynh là tay cờ số 1 việt nam, hiện sức khỏe yếu do vừa thi đấu với danh thủ Từ Siêu . mong bs có thể đổi lịch khám để tôi thi đấu",Lại Lý Huynh,Từ Siêu,,,,,minh,15/7
122,c27,Vương Thiên Nhất có gặp trưởng khoa Triệu Hâm Hâm để khám sớm vào hôm nay rồi,Vương Thiên Nhất,Triệu Hâm Hâm,,,,,,
123,c27,đêm qua tôi mơ thấy Gia Cát Lượng báo mộng phải khám sớm hơn 1 canh giờ mới khỏi được. Mong bác phó khoa da liễu Tào Tháo thông cảm,Gia Cát Lượng,Tào Tháo,,,sớm hơn 1 canh giờ,,,
124,c27,"trước có đặt khám cho chị Lã Thu mà nhầm họ La thành họ Lã, bot đổi tên thành La Thu nha
",Lã Thu,La Thu,,,,,,
125,c27,đổi bs khám của cháu Yên Ly sang bác Bạc Hà giúp nha bot. bác sĩ kia có bận rồi,Yên Ly,Bạc Hà,,,,,,
126,c28,"kieu phong 69 xin đính chính ta là tieu phong, mong bot hãy điều chỉnh",kieu phong,tieu phong,,,,,minh,15/7
127,c28,"bot nghia cứ nhầm ta truong vo ky thành truong du ki thật là đáng trách, còn không mau sửa ngay",truong vo ky,truong du ki,,,,,,
128,c28,"phái Tiêu Dao có người tên là duong dan võ công rất đáng gờm, hãy cho quach tinh đại hiệp cái hẹn với hắn sớm hơn dự kiến ",duong dan,quach tinh,,,,,,
129,c28,"hu truc ta đang bị nội thương, mong hoa da chữ trị gấp. ngài có thể gặp ta sớm hơn 1 canh giờ ko ạ. đa tạ tiên sinh",hu truc,hoa da,,,sớm hơn 1 canh giờ,,,
130,c28,lenh ho xung bái kiến thần y hai thuong lan ong. Ta có thể gặp tiên sinh trễ hơn 2 nén nhang được không,lenh ho xung,hai thuong lan ong,,,trễ hơn 2 nén nhang,,,
131,c7,tôi muốn thay đổi lịch khám với bs trung,trung,,,,,,vũ,13/7
132,c7,hôm nọ tôi có đặt lịch với ông văn tôi muốn thay đổi lịch khám,văn,,hôm nọ,,,,,
133,c7,cho tôi thay đổi lịch đã đặt hẹn với chị linh,linh,,,,,,,
134,c7,vào ngày 2/9 tôi đã hẹn khám với bác sinh. tôi muốn thay đổi ngày,sinh,,2/9,,,,,
135,c7,chiều mai em bận việc cá nhân. không biết có thể thay đổi lịch hẹn với ôg luyến được không,luyến,,chiều mai,,,,,
136,c7,với lịch như đã đặt khả năng tôi thay đổi thứ 4 sang thứ 5 của bs hải,hải,,thứ 4,thứ 5,,,,
137,c7,bác sỹ huy sắp tới có rãnh thời gian nào không tôi muốn thay đổi lịch đã đặt,huy,,,,,,,
138,c7,tôi tên nam tôi muốn đổi lịch khám,nam,,,,,,,
139,c7,bot ơi id của tôi là vũ tôi muốn đổi lịch đã hẹn,vũ,,,,,,,
140,c7,"vào 4h chiều mai tôi có hẹn với bs tuy, nhưng tôi muốn thay đổi hẹn",tuy,,mai,,4h chiều,,,
141,c8,ID của mình là Duy mình muốn đổi hẹn,Duy,,,,,,vũ,13/7
142,c8,lịch hẹn với bs Phúc mình có thay đổi được khg?,Phúc,,,,,,,
143,c8,bác sỹ Phan có rãnh vào cn không mình muốn thay đổi lịch đã đặt vào thứ 7,Phan,,"cn
thứ 7",,,,,
144,c8,"bot ơi tui muôn đổi lịch khám, tên tui là Nhất",Nhất,,,,,,,
145,c8,hi bot tui muốn đổi lịch với bác sỹ Thông,Thông,,,,,,,
146,c8,"ID của mình là 0964819653, mình muốn thay đổi hẹn với chị Linh",Linh,,,,,,,
147,c8,tên của tui là Vũ tôi mướn thay đổi lịch trình khám sang tháng,Vũ,,sang tháng,,,,,
148,c8,tuần sau tôi rãnh tôi muốn dời lịch hẹn sang tuần sau với Dr. Long,Long,,tuần sau,,,,,
149,c8,19:30 tối tôi muốn dời lịch hẹn như vậy với bác sỹ Phương,Phương,,,,19:30,,,
150,c8,khả năng tôi dời vào cuối tuần sau với bác sỹ Trang được hông?,Trang,,tuần sau,,,,,
151,c9,ID: VŨ mướn đổi lịch hẹn,VŨ,,,,,,vũ,13/7
152,c9,bot ơi tôi muốn thay đổi khám với bs TâM,TâM,,,,,,,
153,c9,lịch khám với NHân tôi thay đổi được hông?,NHân,,,,,,,
154,c9,thứ 6 tuần này tôi bận rồi. tôi thay đổi lịch được không?. ID: Dung,Dung,,thứ 6 tuần này,,,,,
155,c9,"bot, tôi muốn đổi lịch sang đầu tuần sau với ô Hà",Hà,,,,,,,
156,c10,xin chào tôi muốn đặt lịch với pham,pham,,,,,,vũ,13/7
157,c10,này bot tôi muốn thay đổi lịch hen được không bot?,,,,,,,,
158,c10,lịch khám ông cuong với tôi có thể dời sang tuần sau k?,cuong,,tuần sau,,,,,
159,c10,bs nhi có thể chuyển sang khám toi vào ngày mai không,nhi,,ngày mai,,,,,
160,c10,hello tôi cần thay đổi lịch hẹn Sinh ở khoa phụ sản,Sinh,,,,,,,
161,c10,vừa rồi tôi đặt lịch ở khoa ngoại với bs khoa. tôi muốn thay đổi lịch,khoa 2,,,,,,,
162,c10,muốn thay đổi lịch tại khoa da liễu với bác sỹ trung,trung,,,,,,,
163,c10,đổi lịch hẹn với ông Lai,Lai,,,,,,,
164,c10,lịch hẹn với hai có thay đổi được không?,hai,,,,,,,
165,c10,chín giờ ngày mai tôi muốn đổi lịch của ông bác sỹ phan,phan,,ngày mai,,chín giờ,,,
166,c11,doi lich hen cua toi voi ong bac sy quang duoc khong,quang,,,,,,vũ,13/7
167,c11,ne bot toi muon doi lich hen voi chi kim vao ngay mai,kim,,ngay mai,,,,,
168,c11,toi muon doi lich sang tuan sau. hinh nhu id cua tui la duy,duy,,tuan sau,,,,,
169,c11,thua bac sy bac toi muon thay doi lich hen,bac 2,,,,,,,
170,c11,toi ban vao ngay 12 3 nen toi muon thay doi lich kham voi chi trang,trang,,12 3,,,,,
171,c12,bảy giờ thiếu 15 tối vào ngày 6/6 tôi muốn dời lịch khám ngày này với bác Phưới,Phưới,,6/6,,bảy giờ thiếu 15 tối,,vũ,13/7
172,c12,bot tôi muốn đổi hẹn khám với chuyên gia Sancho,Sancho,,,,,,,
173,c12,tôi muốn thay đổi khám với bác sỹ Knar được ko,Knar,,,,,,,
174,c12,em muốn thay đổi lịch khám với chị bác sỹ Yut,Yut,,,,,,,
175,c12,bác sỹ Phay có thể thay đổi lịch hẹn giúp em được không,Phay,,,,,,,
176,c1,identify của tôi là đặng huyền nguyên tôi muốn đổi lịch hẹn,đặng huyền nguyên,,,,,,vũ,13/7
177,c1,tôi muốn thay đổi lịch hẹn vào tuần sau,,,tuần sau,,,,,
178,c1,"bạn tôi là phạm thi ga , bạn tôi nhờ tôi thay đổi lịch hẹn",phạm thi ga,,,,,,,
179,c1,tên của tôi là đoàn minh kỳ tôi muốn dời lịch hẹn vào tám giờ tối mai,đoàn minh kỳ,,mai,,tám giờ tối,,,
180,c1,"lê khắc lý là tên tôi, tôi muốn thay đổi lịch",lê khắc lý,,,,,,,
181,c1,tuần sau tôi muốn thay đổi lịch khám,,,tuần sau,,,,,
182,c1,tôi muốn thay đổi lịch khám dùm bạn lê thị hồng hoa.,lê thị hồng hoa,,,,,,,
183,c1,id: lê thị lưc. thay đổi lịch khám,lê thị lưc,,,,,,,
184,c1,làm cách nào để liên hệ với bs trần be ron để thay đổi lịch hẹn vậy bot,trần be ron,,,,,,,
185,c1,tôi muốn thay đổi lịch hẹn tái khám vào tuần sau với ông lâm văn cảnh,lâm văn cảnh,,,,,,,
186,c2,thay đổi lịch khám với bs Đặng Văn Khánh An phải làm sao?,Đặng Văn Khánh An,,,,,,vũ,13/7
187,c2,ngày kia tôi có lịch tái khám tại khoa mắt với Trần Ninh Quý nhưng tôi muốn thay đổi sang tuần sau,Trần Ninh Quý,,ngày kia,tuần sau,,,,
188,c2,tôi có đặt lịch khám về mắt id tôi là: 12345 tên Lê Thị Tuyết. muốn dời lịch sang tuần sau,Lê Thị Tuyết,,tuần sau,,,,,
189,c2,tôi muốn thay đổi thông tin cá nhân về lịch hẹn với bác sỹ Bùi Thị Thu,Bùi Thị Thu,,,,,,,
190,c2,a Ngô Nhật Duy có gọi tôi a đi công tác vào lịch đã đặt nên dặn tôi thay đổi lịch khám với bác sỹ khác? tôi phải làm như nào vậy bot,Ngô Nhật Duy,,,,,,,
191,c2,chú là Đinh Xuân Viễn chú muôn thay đổi triệu chứng đã ghi ở phần book lịch hẹn trước,Đinh Xuân Viễn,,,,,,,
192,c2,chú muốn thay đổi triệu chứng ho sang ho dai dảng đã đặt với bác sỹ Dương Văn Cẩm,Dương Văn Cẩm,,,,,,,
193,c2,em muốn dời từ 7h sáng sang 7h tối với chị bác sỹ Phạm Thị Ngọc,Phạm Thị Ngọc,,,,7h sáng,7h tối,,
194,c2,bạn em nhờ em đổi lịch hẹn với Huỳnh Trung Thiện sang tuần sau,Huỳnh Trung Thiện,,tuần sau,,,,,
195,c2,thông tin cá nhân của tôi cần thay đổi ngày tháng năm sinh id là Mai Thế Hùng,Mai Thế Hùng,,,,,,,
196,c4,ông em tên Doan Vu Kha có thể thay đổi lịch khám ngày nào tuần sau,Doan Vu Kha,,tuần sau,,,,vũ,13/7
197,c4,"tuần nay em có việc bận rồi, em muốn dời lịch hẹn tái khám định kỳ của thai nhi với bác sỹ Le Thi Hoa",Le Thi Hoa,,,,,,,
198,c4,mã số khám của chị là EZ419 chị muốn dời lại lịch khám được không? tên của chị Pham Thi Ngoc,Pham Thi Ngoc,,,,,,,
199,c4,"mã: QA123 được đặt lịch hẹn vào hôm nay nhưng tôi bận rồi nên tôi dời sang tuần sau, tên mai the hung",mai the hung,,hôm nay,,,,,
200,c4,tên nguyen van thoi tôi muốn thay đổi lịch tái khám,nguyen van thoi,,,,,,,
201,c4,tên thường gọi là mai thi kieu loan tôi phải liên lạc như nào để thay đổi lịch hẹn khám,mai thi kieu loan,,,,,,,
202,c4,30p nữa tôi có lịch khám nhưng tôi muốn thay đổi lịch với chú mai the hung,mai the hung,,,,30p nữa,,,
203,c4,bác sỹ mai thi kieu loan dặn tôi dời lịch sang tuần sau. tôi có những thời gian nào để đặt,mai thi kieu loan,,,,,,,
204,c4,id: le van dinh thay đổi năm sinh 1997 sang 1998,le van dinh,,1997,1998,,,,
205,c4,"tôi thấy thông tin lịch khám sai, tôi cần thay đổi lại là ngày khám 21 sang 23",,,21,23,,,,
206,c3,"tôi cần sửa chữa lại thông tin lịch hẹn là triệu chứng ho khan, đờm sang ho dai dảng, sốt, tên của tui là Nguyễn ngọc Yến",Nguyễn ngọc Yến,,,,,,vũ,13/7
207,c3,vài tiếng nữa hình như có lịch hẹn với cô nguyễn hoài Yên tôi muốn dời sang chiều nay,nguyễn hoài Yên,,chiều nay,,,,,
208,c3,"bác sỹ Danh điền bảo tôi điền lại thông tin triệu chứng trước khi khám, tôi phải làm gì?",Danh điền,,,,,,,
209,c3,bác sỹ Long Phạm có thể giúp tôi thay đổi lịch sang ngày mai không,Long Phạm,,ngày mai,,,,,
210,c3,tên của tui là Phan bùi tôi có thể thay đổi lịch khám không?,Phan bùi,,,,,,,
211,c5,phai lam gi de thay doi thong tin trieu chung da ghi o lich hen voi bac sy cao minh tri,cao minh tri,,,,,,vũ,13/7
212,c5,bot oi toi co the change appt cua bac do van kha,do van kha,,,,,,,
213,c5,toi nen lam gi de thay doi lich da hen voi do van kha,do van kha,,,,,,,
214,c5,toi muon doi lich kham cua bac sy dang van y ,dang van y,,,,,,,
215,c5,id le chanh thu doi lich hen sang ngay kia luc 9:10,le chanh thu,,ngay kia,,09:10,,,
216,c6,tên bác sỹ Thạch Thị Sóc Hên tôi muốn đổi lịch hẹn,Thạch Thị Sóc Hên,,,,,,vũ,13/7
217,c6,lịch hẹn của Lâm Chong có thể thay đổi được không?,Lâm Chong,,,,,,,
218,c6,tôi muốn thay đổi lịch hẹn với bác sỹ Thạch Chây Mu Ny,Thạch Chây Mu Ny,,,,,,,
219,c6,tôi muốn change appt với bác sỹ Chan Ng,Chan Ng,,,,,,,
220,c6,cho tôi xin phép thay đổi lịch hẹn cá nhân với bác sỹ Lee hoon ở khoa thẫm mĩ,Lee hoon,,,,,,,
